Entity,Year,"Employment in industry, male (% of male employment) (modeled ILO estimate)","Employment in industry, female (% of female employment) (modeled ILO estimate)",Population (historical estimates),Continent
Norway,2019,30.61,6.87,5348285,Europe
Oman,2019,35.79,4.1,4602769,Asia
Pakistan,2019,27.03,16.82,223293280,Asia
Palestine,2019,34.6,7.72,4909775,Asia
Panama,2019,23.17,9.5,4232538,North America
Papua New Guinea,2019,20.99,5.12,9542492,Oceania
Paraguay,2019,24.38,8.69,6530029,South America
Peru,2019,21.01,8.28,32824864,South America
Philippines,2019,25.07,9.7,110380800,Asia
Poland,2019,43.87,17.49,38493600,Europe
Portugal,2019,33.88,15.01,10289921,Europe
Puerto Rico,2019,20.98,7.87,3292888,North America
Qatar,2019,61.18,6.16,2807242,Asia
Romania,2019,37.05,20.92,19524212,Europe
Russia,2019,37.53,15.45,145742288,Europe
Rwanda,2019,14.92,2.74,12835029,Africa
Saint Lucia,2019,21.36,6.34,178594,North America
Saint Vincent and the Grenadines,2019,29.55,6.3,104940,North America
Samoa,2019,18.58,37.23,211915,Oceania
Sao Tome and Principe,2019,25.13,3.25,214612,Africa
Saudi Arabia,2019,28.18,2.11,35827364,Asia
Senegal,2019,18.29,5.42,16000783,Africa
Serbia,2019,34.13,18.96,7401056,Europe
Sierra Leone,2019,12.02,1.53,8046830,Africa
Singapore,2019,18.83,10.98,5866408,Asia
Slovakia,2019,49.2,20.26,5453932,Europe
Slovenia,2019,45.68,20.51,2112905,Europe
Solomon Islands,2019,18.4,5.5,675000,Oceania
Somalia,2019,2.9,0.79,15981312,Africa
South Africa,2019,30.44,11.99,58087060,Africa
South Korea,2019,33.16,12.81,51803832,Asia
South Sudan,2019,23.72,8.68,10447677,Africa
Spain,2019,29.53,9.42,47131372,Europe
Sri Lanka,2019,28.89,25.87,21649664,Asia
Sudan,2019,21.1,4.69,43232092,Africa
Suriname,2019,33.92,7.54,600305,South America
Sweden,2019,28.69,7.14,10267922,Europe
Switzerland,2019,29.25,10.13,8575593,Europe
